评论,时间
非常棒，款式独特，佩戴舒适。,2024-09-21 17:45:10
好用的，佩戴轻盈，光泽好。,2024-09-16 17:44:14
物超所值，佩戴后感觉更加自信。,2024-10-12 13:39:04
很合适，佩戴舒适且精致。,2024-09-22 12:48:25
收到了，佩戴让人心情愉悦。,2024-10-09 11:15:42
宝贝收到，戴着很有安全感！,2024-09-24 16:27:14
这款和田玉手镯真是让我爱不释手。手镯的质地温润细腻，透出一种淡淡的油脂光泽，手感非常舒适。玉色纯净，没有明显的瑕疵，给人一种高雅脱俗的感觉。佩戴在手腕上，不仅彰显了东方女性的温婉气质，而且和田玉特有的保健功效也让我倍感安心。卖家的服务态度也非常好，从选购到发货，每一个环节都让我感到专业和贴心。,2026-03-01 09:41:21
手镯不错，已经收到了，拿在手里润润的，有油性，很有质感，包装挺好，有鉴定证书，性价比很高，相信京东自营。,2025-06-27 11:56:02
我在网上挑选了很多家，买了这款玉手镯，收到货试了一下，大小合适，手镯也很油润，成色很好非常喜欢，夏天搭配衣服好看，很不错,2025-05-29 15:45:33
玉镯子真的是很漂亮，整体看起来水光盈盈的，油润度跟手感都是很不错的，戴着很舒服，怎么看都很好看，整体来说真的是挺满意的。,2025-06-18 08:20:20
对比了好多家，今天拿到了，品质确实不错，手镯很干净，色泽通透，表面细腻有光泽，和之前实体店看的同价位的要好一些，性价比确实高,2025-05-10 19:37:55
物流好快，昨天下的单今天就收到了，手镯很漂亮，非常好，白润细腻，色泽都不错，摸起来凉凉的，手感不错，平时戴着也可以盘盘，喜欢,2025-07-20 14:50:52
这个玉镯子真的很好看，质地温润， 之前逛街看到过玉镯就被种草了，然后在网上看了挺久，货比三家选了这家，真挺好，特意带了一段时间来评论，越带越亮,2025-06-13 23:10:03
手镯实物很漂亮，质地细腻，光泽柔和，温润如玉，简洁大方，冰冰凉凉，这个季节戴着非常舒适。,2025-05-31 17:09:27
我也终于拥有了我人生的第一只玉镯子啦，颜色喜欢，品质不错，干净细腻温润，不要太好看哟,2025-05-27 21:24:04
戴在手上挺冰凉的。挺喜欢的。最主要的还是有眼缘吧。对得起这个价位。,2025-05-14 19:25:49
看了好久才下单，真的太美了，很润很透，超出预期！,2025-05-25 13:45:24
拍到这款手镯特别满意，是我喜欢的款式，包装也很精美，有证书，好评。,2025-06-20 16:57:46
尺寸刚刚好，合适，质地圆润，好看,2025-05-06 13:22:24
玉美镯收到了，挺好看的，非常和我的眼缘，手镯有鉴定证书，自营上买的，应该还是靠谱，客服的服务好，非常热情，手镯我先戴着，下次我再来买个玉吊坠。,2023-03-24 16:44:09
感谢快递小哥哥送货上门，外包装非常严实，而且还附有相关的证书和包装袋，看到手镯非常惊讶，这手镯太漂亮了，戴在手上非常好看，手镯白净，看着油油亮亮的。我下单之前咨询了客服，客服给我推荐的圈口，大小很合适，如果我朋友有需要，我一定会推荐他们家的。,2023-03-31 14:55:40
很喜欢，不是纯白，但也不显青。照片看不大出来，近看肉眼能看到玉体内的絮状结构。内侧是平面，但是边缘打磨得很圆润，手感很好。按推荐方法量了手围周长20.7cm，按尺寸表应该要买60圈口的，但因为我刚在别家买过一个60圈口比这个细条的试戴大了好多，那家客服推荐换56的，这边客服说这款换58圈口就行了。按58的买回来戴着挺好，喜欢！,2023-02-18 16:11:30
对比了很多家，最后选择了7000年，物流很快，玉镯看着也不错，玉质细腻有光泽，戴着大小也非常合适，手镯有检测证书，包装也很不错，送人，自戴，都很有面子,2024-02-22 14:35:26
之前买过一个和田玉平安扣，佩戴了一段时间，感觉越看越喜欢和田玉，于是我又来买了这款和田玉手镯，收到货看到实物还是一如既往的满意，感觉自营店买玉还是挺靠谱的，和田玉都有鉴定证书，网上也能查到。,2023-04-23 16:03:59
京东物流很快，第二天我就收到了，包装很精美，玉质看着也很不错，准备下次再买一只送给我妹妹，我是第一次戴和田玉手镯，之前去实体店试过，但是价格太贵了，我也就放弃了，无意间在京东上看到这个手镯，感觉跟我在实体店看到的差不多，但是价格要便宜一半，我就好奇买回来看看，收到的玉手镯有鉴定证书，自营上买的，应该靠谱吧，手镯戴着真的好看，非常满意的一次购物。,2023-03-27 17:28:15
好漂亮的手镯，非常喜欢，白白净净的，而且很油润，京东自营送货很快，包装也很好，还有鉴定证书，相信自营,2024-04-27 10:22:07
镯子非常好，戴着大小刚合适，客服推荐的，很专业。手镯的颜色也很白润，是我喜欢的颜色，我准备再给我妈妈买一只。,2023-04-18 12:37:06
终于买到我想要的手镯了，买了好几家的进行对比，这只我是最满意的，**好，玉很细腻温润，大小也合适，客服服务也非常棒，物流快，包装很精美，有鉴定证书，总之非常满意的一次购物,2024-08-26 17:20:30
和田玉手镯已经收到，包装很严实，有鉴定证书，手镯的颜色还是比较白润，我拿到手上仔细看了看，品质也算可以，应该值这个价。下面是我拍的图片，可以参考一下,2023-04-21 17:40:26
客服很热情，回答也很专业，物流很快，看到玉手镯还是挺惊喜的，手镯白白净净的很有光泽，有检测证书，我也查了是真的和田玉，客服给我推荐的圈口，很合适，戴上我就不想取下来的，希望这个玉手镯能给我带来好运,2023-10-11 16:50:45
发货非常快，手镯已经收到了，包装很严实，有礼品鉴定证书，手镯看着也不错，很白润的感觉，玉质也很好，没有失望，还不错，给个好评。,2024-10-16 09:25:59
我对这次购买的玉手镯非常满意。它质地温润，色泽均匀，戴上后显得手腕格外纤细。朋友见了都夸我眼光好，真是物超所值。卖家服务态度也很好，包装精美，物流迅速，是一次愉快的购物体验。,2025-02-18 12:24:59
玉手镯发货很快，昨天我就收到了，下单之前咨询了客服，客服很有耐心的给我讲了如何选择圈口，佩戴的的注意事项，她也给我承诺他们的玉是真的和田玉，假一赔十。收到的包裹里面有鉴定证书，有礼品袋，看着这包装还挺精致的，玉手镯的颜色，白白润润的，我非常喜欢，非常开心的一次购物。,2023-04-17 13:45:02
手镯收到了，看着实物很满意，对比了好几家，他们家的关注是最高，所以就在他这里买了，还好没有让我失望，包装很好，玉很温润，白度也不错，还有鉴定证书，相信京东自营,2023-12-11 16:51:50
颜色好看，就是棉比较多,2024-03-08 13:58:47
收到好几天了，朋友都说我戴的很好看，手镯的油脂光泽色泽非常好，拿在手里沉甸甸的，很有质感也有证书，是真货,2025-03-10 18:07:38
还不错，挺晶莹剔透的，看起来还是很好看的，摸起来也很有质感，看起来挺高端大气的，玉镯颜值很高，而且戴着也挺舒服的，整体还是非常不错的,2024-06-15 09:53:43
手镯还可以，大小戴着很合适，颜色虽然没有图片白，但是油润度很高，之前去实体店看过，价格比这个贵，成色还没有这个好，手镯有鉴定证书，我查了是真的,2023-09-22 16:12:41
买来送妈妈的生日礼物，礼盒装的，还有个礼品袋，挺方便的，正好可以提着送去。手镯整体都很不错的，颜色润度都很满意，有证书，是和田玉正品，自营大品牌还是值得信赖，一次满意的购物,2022-07-18 16:15:32
白皙水润，越看越喜欢。比在直播间买的都好看，京东自营的质量还是靠谱。,2023-11-20 10:56:51
戴上这只和田玉手镯一整天，完全没有不适感，大小刚刚好，重量也适中，冰冰凉凉的触感贴在手腕上特别舒服，感觉身心都被治愈了,2025-03-11 15:45:17
妹妹很喜欢，一眼就看上了，大小也合适，客服很好。收到以后马上查看，与图片描述一致，超级喜欢，卖家发货速度很快，服务也很到位，给老板点个赞。,2023-12-14 16:06:04
活动期间价格还可以，物流很快，收到就看了下外观，材质是玉的，也有检测证书，颜色看起来不错，对得起这个价格，玉中有些棉絮物，不过那种纯洁的玉肯定也不是这个价格能买到的。,2023-11-21 15:09:58
很愉快的一次购物，手镯实物和描述的一样，白白净净的，看着非常好看，我非常喜欢，手镯有鉴定证书，相信京东自营,2023-12-05 11:25:07
女朋友过生日，没有时间去实体店选，于是就在京东自营上买了这只手镯，根据身高和体重，客服给我推荐的圈口，女朋友说戴着很合适，而且她也非常喜欢这个手镯，她戴着去公司，她同事都说好看，还让她给她推荐。,2023-09-06 15:47:57
很润，沉甸甸的，打光里面棉不是特别多，很喜欢，一直想买这个，终于下定决心买了，没有失望,2024-03-21 13:52:09
一直就想给自己买一只和田玉手镯，终于下定决心买了，实物看着很满意，很喜欢，今天我拿去检测了，是真的和田玉，这下我就放心戴了。,2024-01-26 11:07:22
一开始买了57-58圈口的，结果有点大，最终果断换成55-56圈口的，商家给退了运费，换回来刚刚好，媳妇很喜欢，玉里面有点棉絮状，看说明正常现象，拿在手里沉甸甸的！不错！,2023-02-19 19:35:04
手镯很满意，有鉴定证书，相信京东自营，客服很热情也很专业给我推荐的尺寸，非常合适，非常满意的一次购物,2024-01-18 15:40:00
手镯非常好，玉的材质看着都很舒服，佩戴起来也好看，我会推荐给我的好姐妹的,2025-01-09 11:34:13
物流很快，发的京东快递，隔天就送上门了，手镯油亮亮的，白度也还可以，对得起这个价格，很满意，好评。,2023-09-12 12:08:25
京东自营，物流很快，收到的手镯完全超出了预期，戴着很合适，也非常好看，手镯有鉴定证书，相信京东自营。,2023-11-28 16:19:48
和田玉一直都喜欢，收到货觉得不错，颜值符合期望，疑问客服及时解答，有机会继续回购。,2024-03-03 09:55:39
物流很快，头天下单，第二天就收到了，手镯质量很好，戴着大小也很合适，我会好好爱她的。,2023-09-04 17:27:31
感觉一般，还是贵了。,2022-11-17 16:12:37
比较有光泽，颜色白色偏水绿色，玉的质地越带越感觉温润，总体比较满意的,2023-11-10 13:04:35
玉手镯收到了，很惊喜呀，手镯很有光泽也很油润，跟实体店比，这个价格买到确实很开心。,2023-04-20 09:05:44
和田玉的手镯圆润光滑，分量感特别重，戴在手上特别漂亮，摸起来冰冰的，非常好，玉能养人，人能养育，希望越戴越好看，越戴越圆润。,2025-03-28 08:07:37
物流非常快，收到就迫不及待的戴上了，很好看，玉手镯寓意很好，证书也齐全，非常满意的一次购物,2024-01-30 14:03:59
"给我自己买的生日礼物，在网上看了很长时间，最后选定了这款，看到实物很不错，手镯看着很
油润，客服服务态度很好也很专业，她给我推荐的尺寸，我戴着很合适，总之我非常喜欢这个手
镯，下次我准备再给自己买个玉吊坠。",2023-07-04 17:07:12
姐妹们一定要试试玉镯，带之前必须抹点护手霜，玉镯我很喜欢，颜色很显白，之前没买过，不放心，老公让拿去鉴定是天然的和田玉，可以放心购买。,2025-03-15 20:19:23
手镯的大小戴着很合适，家人朋友都说好看，手镯有鉴定证书，网上查也能查到，手镯整体我都很满意，老一辈的说，人养玉玉养人，希望这只手镯能过给我带来好运。,2022-10-28 17:49:24
我对玉石不太懂，买的时候可纠结了。但收到这个和田玉手镯，所有顾虑都没了，实物超美，客服讲解也很耐心，好评！,2025-03-21 21:43:22
玉手镯有鉴定证书，我查了是正品，收到的实物和图片相符，很满意，很喜欢。,2023-12-06 18:25:21
手镯我已经佩戴一段时间了，感觉比之前油润很多，而且我的亲朋好友都说我戴着好看，我会一直戴着的,2024-02-18 10:35:09
一直以来，喜欢玉。很久想买一只玉镯子，看了很久，这次在京东上买了一个平安扣，很透明，很润泽，就又下决心买同一家的白和田玉镯子，但是，美中不足的是里面絮状物明显。不过这样显得更白。是不是啊Q.,2023-08-13 16:45:07
质量不错，包装的也很好，质地温和清澈，戴上效果美美哒，很喜欢，做工也是非常的不错，整体效果太棒了，喜欢的朋友可以入手！,2023-10-07 11:28:10
满意的镯子，戴着满心欢喜，圈口合适，条宽合适，下了2单对比后留下了这款，谢谢客服,2023-12-04 08:52:27
物流很快，商品包装完好无损，商品和产品介绍里面的一模一样，没有丝毫地差别，很高兴的一次购物体验，下次网上购物还会选择京东。,2023-11-01 19:59:01
拿光照了，有饭，有流水纹，没裂，非常好，拿油涂了，和田要油脂才能润，以后还会再买,2023-06-10 21:29:42
是和田玉，性价比高，基本符合预期，客服服务态度也很好，物流快，满意的一次网购,2023-08-11 08:52:10
这款玉镯看了很久，玉体通透，航空送达，安全。包装完整。,2023-11-04 09:58:12
好喜欢这个手镯，和介绍的一样，油润细腻白度又好，值得购买。,2025-01-09 12:18:35
有裂纹，当时也没注意以为是内部就这样，带了一段时间感觉刮手。买的人注意了。,2024-10-11 12:10:10
7000年和田玉手镯已经收到了，包装很不错，有礼品袋，有售后卡，还有鉴定证书，手镯看着很不错，相信京东自营,2022-09-01 15:37:47
快递非常快，第二天就收到货了，证书什么的都有，不知道为什么是从重庆发过来的，因为和田玉是新疆的嘛，收到货就已经戴上了,2023-11-26 11:07:39
手镯前几天收到的，包装得很好，当时买的时候对比了好多家，最后选择了7000年，还好没有让我失望，我很喜欢这手镯，第一次戴玉手镯感觉确实不一样。,2022-12-22 16:34:09
很满意的一次购物，物流很快，手镯玉质很好，拿在手上很好看,2024-02-26 17:15:11
手镯戴了好几天了，越看越喜欢，买之前对比了很多家，他们家是最优惠的，而且手镯有鉴定证书，相信京东自营。,2023-09-06 15:17:58
手镯很漂亮，戴着很合适，客服色很好，我准备再给我妈妈买一只,2025-01-06 16:50:32
看了很多家的玉手镯，看了很多图片和评价，下单了他家，收到了也没有失望，自营大品牌，品质还是有保障的，镯子很白润，戴着也好看，很满意,2023-09-13 18:46:45
玉镯收到了，很漂亮，水水润润的，太喜欢了,2024-02-23 11:22:52
"京东物流真的快，昨天下单今天就收到了,手镯戴着手上非常好看，非常喜欢。",2023-07-03 12:14:14
手镯很漂亮，客服给推荐的圈口很合适，第一次在网上买玉，所以选择京东自营，手镯手镯有鉴定证书，我也查了能在网上查到。,2022-08-12 20:22:35
之前买了一个浅色的手镯送给妈妈，她很喜欢，我也觉得挺好看的，于是我就买了这个白玉手镯，戴着也很好看。非常喜欢。,2023-05-31 12:53:12
收到很惊喜，润度和白度都比想象中的要好，都说玉养人，就想找个手镯来一直戴着，很满意收到的这 只镯子，完全超出了预期，好评。,2023-08-29 16:29:21
送给老婆的生日礼物，老婆很喜欢，客服给我推荐的圈口，她戴着也很合适，准备给我丈母娘再买一个,2024-01-24 09:59:43
宝贝很不错，和卖家描述的一样，手镯油油润润的，有鉴定证书，值这个价格,2024-02-26 15:38:01
物流很快，手镯收到了，包装精致，玉质也不错，比想象中的要好，喜欢，好评。,2023-09-11 15:23:20
东西比我想象中的还要完美，十分给力，值得入手第一次在网上购买，也是看评价才买的，质量还不错，也很便宜，有需要的朋友可放心购买,2023-06-24 23:01:50
玉手镯看着玉质不错，白度和润度也可以，对比了很多家，他们家的白玉手镯是最好的，性价比是最高的。,2023-07-25 14:34:49
客服有耐心，手镯大小合适，，细看棉比较多，戴着玩可以,2024-01-22 21:28:39
和田玉镯收到带了几天都说好看，有鉴定证书，玉镯圆滑水润，丰盈油润，白色柔美带着高雅大气，继续关注,2023-05-05 20:05:57
手镯戴着很漂亮 玉油润有光泽 母亲节给老妈的礼物 她戴着好看 很喜欢,2024-05-09 16:15:48
宝贝收到了，戴上非常好看。色和图片一样。戴上大小合适。是正品。里面的结构可以看见。非常不错一次购物，谢谢老板。,2022-07-22 22:27:51
手镯戴着刚刚好，看着很漂亮，古话说人养玉，玉养人，新年新气象，希望这个玉手镯能给我带来好运,2023-02-03 02:35:43
京东物流很快，手镯收到很满意，玉手镯圆润，有鉴定证书，是正品。,2024-01-22 15:58:28
感觉像真的，自己也不会鉴定，挺圆润的，内部有棉絮的样子,2024-04-04 15:37:01
收到货后看到镯子的粗细大小都比较满意，颜色不发青，就决定要了，戴上凉凉的，送自己的礼物，很喜欢玉的温润柔和,2023-01-13 17:36:23
看了很久的手镯，才下单买的，怕买回来不好看，竟然出乎意料的好看，很满意，很喜欢,2025-01-17 13:37:10
手镯很满意，白白净净的，非常有光泽，京东自营物流也很快，有需要我还来购买,2024-10-18 13:30:55
手镯很不错，白白润润的，有鉴定证书，很愉快的一次购物,2023-11-25 16:14:16
玉手镯很喜欢，色泽温温润润的，很好,2024-02-23 16:21:58
客服很热情，回答也很专业，收到的手镯非常漂亮，一直在京东上买东西，每次收到的都非常满意。,2023-03-31 15:07:49
手镯已经收到一段时间了，拿去 检测了一下，是真的和田玉，我个人觉得戴着还挺好看的，这样的宽度对我来说就刚刚好，最开始才戴着的时候还有点不习惯，戴了一周左右，现在很习惯了，而且越来越喜欢它了。,2022-08-31 12:21:45
玉手镯收到了，白润又又光泽，很满意，很喜欢，客服给我推荐的大小，还很合适，非常愉快的一次购物，有需要还来购买,2024-02-11 09:50:18
还是很惊喜的，镯子很润，上手特别漂亮。选了好久，终于买到心仪的货物,2023-11-11 14:16:14
手镯收到了，跟我想的一样，很漂亮。外包装也很高档上档次，还有客服态度很好，物流发货快，很愉快的一次购物！,2022-05-14 13:33:19
手镯的质量非常好，有鉴定证书，对得起这个价格,2024-02-19 14:47:35
很满意，色泽漂亮，很润很透，超出预期，物流也是超级快,2026-01-11 16:02:47
玉镯收到了，虽然我不懂玉，但看到图片跟收到的是一样的，颜色我也很喜欢，相信京东,2025-01-14 16:09:11
手镯很满意额，大小合适，油润有光泽，还有鉴定证书，值得,2024-03-18 15:35:40
油润光亮，看起来特别温润，上手效果很满意，感觉戴上说话都温柔了，很好搭配，特别喜欢，喜欢的姐妹们可以放心入手,2025-05-19 21:24:45
"镯拿回来我就載上了，非常漂亮，玉有鉴定
证书，是真玉，京东物流很快，好评",2023-10-20 15:17:13
玉手镯很满意，物流快，包装精美，有检测证书，大小也很合适,2023-12-10 11:58:51
手镯收到好几天了，大小合适，戴着很好看，我越看越喜欢，非常愉快的一次购物。,2023-05-30 22:34:59
手镯很漂亮，非常喜欢，也有鉴定证书，相信是正品,2024-03-04 11:49:24
物流很快，已经收到了，很喜欢，很好看，圈口也挺合适,2023-08-21 12:50:25
手镯收到很满意，比我想象的要好看，客服也很热情，给客服点赞。,2023-05-12 11:19:59
尺寸客服推荐的刚刚好，做工也非常好，成色不错，正品，值得推荐！,2023-08-30 14:36:46
手镯收到了，是送给媳妇儿的，白白净净的，还有礼品袋，希望媳妇儿能喜欢。,2023-07-26 14:21:13
总体来说挺润的，质地也细腻的，有棉，可以接受,2024-11-30 22:33:35
玉镯挺好看的，也没什么太明显的瑕疵。第一次网购玉镯，挺满意。,2023-08-07 23:58:49
手镯看着还不错，油润有光泽，但是圈口我买小了，准备给我妹妹戴，我自己重新再买一个。,2022-06-30 16:45:27
给闺蜜的生日礼物，特殊期间送货依然很及时，包装完好！希望她会喜欢！！,2022-12-22 14:50:04
颜色好看，玉很润很细腻，品质不错，非常百搭，很喜欢,2025-05-12 21:24:38
玉手镯超级满意，戴着手上很好看，客服服务很好，非常愉快的一次购物,2023-06-07 16:26:19
收到了 物流很快 有证书有礼品盒买来送老婆的希望她喜欢，我是挺满意的,2023-09-13 18:37:42
手镯一收到，我就迫不及待的戴上了，大小很合适，我准备一直戴着。,2023-05-02 22:00:58
手镯白白净净的非常喜欢，人养玉，玉养人，我会好好爱惜的。,2024-01-24 19:58:59
手镯很满意，大小合适，有鉴定证书，很喜欢,2024-02-26 16:27:46
外观看蛮好的，是我喜欢的，至于是不是真的和田玉我不懂只能相信电东自营的,2023-08-11 15:01:52
这个玉镯很漂亮，玉质温润细腻，光泽度也很好，戴着很合适，非常满意的一次购物,2024-10-06 15:07:37
质量很好，质感不错，做工精细。性价比很高,2023-01-28 09:08:35
玉镯成色很好，有证书，物流快，比较满意。,2023-10-01 16:44:16
品质如何，个人无法判断，买东西嘛，图个自己喜欢，对玉不了解，更不识货，感觉戴着冰冰凉凉的，特别舒服，越看越喜欢,2023-05-07 10:15:25
手镯收到了看到还不错，油油润润的，也有鉴定证书，是正品,2023-12-07 10:10:01
手镯大小合适，戴着看着也漂亮，非常喜欢。,2023-06-03 10:47:31
京东自营发货很快，客服给我推荐的圈口，大小很合适。手镯的颜色白润，有光泽，个人觉得性价比很高。,2023-03-21 15:02:49
物流配送速度非常快，包装很好，玉镯看着也不错，有鉴定证书，是正品！,2024-09-30 16:01:01
这个镯子关注了好久看到搞活动后果断下单。收到货后迫不及待打开包装，一眼看上非常飘靓老婆也很喜欢，手镯看起来白白润润的。好评。,2023-06-11 15:57:17
值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试,2023-05-02 08:47:52
玉镯很好，色泽光润，客服也给力，有问题立刻解决,2024-05-05 11:06:32
手镯很漂亮，水头很好，油润有光泽，很喜欢。,2023-07-13 14:52:25
物流很快，玉手镯看着不错，大小也很合适，推荐购买。,2023-03-27 16:44:31
玉镯收到了，非常漂亮，质量确实不错,2023-08-17 15:38:06
我不懂玉，与实体店对比要便宜很多，包装精美我，有证书，相信京东自营,2024-01-30 13:47:44
家里人很喜欢！小小的一个惊喜！客服很给力，价格变化能快速的给解决差价问题！很满意的一次购物体验！,2023-10-10 14:22:56
手镯是买来送人的，我打开看了一下，看着还可以，有礼品袋，准备这样提着去送人，希望她能喜欢。,2022-08-19 18:47:18
老公送的，自然光下拍摄，很喜欢，按照推荐尺码买的，供大家参考,2023-11-20 11:34:17
手镯还可以，本来在网上买不放心，收到后还是符合心里预期的，,2023-09-12 19:55:58
纯白色的手镯，感觉很油润，也很细腻，相信京东自营，自己打灯看了看，算了密度，应该是真的,2023-08-04 10:58:13
连续两次发来残次品，眼神儿不好的就以为捡到宝了，差评！,2023-10-05 21:07:54
"收到货，第一时间拆包装，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意，发货
速度比较快，物流公司服务态度很好，运送速度很快，总的来说
这次是很
满意的一次购物，感谢卖家。",2023-10-10 19:40:47
很喜欢，非常漂亮，和田玉温润如玉,2023-11-03 23:13:35
镯子收到了，颜色非常好，很润。就是有一点地方以为是裂纹呢，客服说那是玉的水纹。沟通很及时。,2022-11-04 15:20:41
包装精美，样式美观。物流速度很快，喜欢😘。,2023-10-26 13:10:54
很喜欢这只手镯，收到寄迫不及待的戴上了，大小很合适，戴着很衬肤色，搭配衣服也好看,2023-07-19 19:44:59
手镯收到了，玉质很好，大小也合适，非常喜欢,2023-09-27 12:31:23
手镯戴着很合适，实物看着特别的明亮有光泽，第一次戴和田玉手镯，开始戴的时候还有点不习惯，戴了一天感觉还挺好的。,2022-10-09 19:25:39
很好看，很惊喜，挑了好久最后还是选择这家👍,2023-07-27 11:58:58
非常不错的和田玉手镯，大小很合适，戴着很漂亮，我非常喜欢。,2023-05-16 17:40:49
手镯不错，很喜欢，包装也很好，物有所值。,2023-05-12 11:19:18
发货是真的快，玉手镯已经收到了，我查了是真的和田玉，手镯大小很合适，戴着还挺好看的。,2022-08-24 16:54:14
女朋友越看越喜欢，相比绿色的那种老气，这款更适合年轻人。,2023-08-27 15:21:19
终于买到我想要的手镯了，手镯很白，有很油润，非常喜欢,2023-09-18 10:00:45
手镯戴着非常漂亮，我非常喜欢，非常愉快的一次购物,2023-06-01 14:11:38
好看，是真的，找人鉴定过！！！！！！！！！,2023-08-18 15:44:35
玉手镯很漂亮我很喜欢，白色很衬肤色。,2024-03-08 14:00:06
玉镯的材质和颜色还行，就是觉得有点偏大,2023-07-22 12:44:28
送给媳妇的生日礼物，礼盒包装，媳妇很喜欢，感谢客服给我推荐圈口，大小非常合适,2023-10-12 11:20:00
超出了预期，质地细腻，颜色纯净，润润的摸起来很舒服,2023-10-20 16:09:43
手镯很好看，中间有点小插曲，客服很快就给解决了，点赞，可能还保价了，优秀啊，京东真的可以永远相信，yyds！！买贵点的东西还是选择京东比较靠谱。,2022-05-20 18:00:57
大小合适，媳妇喜欢，很好,2024-05-08 07:24:46
收到刚收到，看着很不错，以后有需要还来买。,2022-07-13 20:22:37
精美，尺寸刚好，好看有油润光泽，铪五星好评,2022-11-19 12:31:17
玉手镯非常漂亮，性价比高，推荐购买,2023-08-02 17:02:28
非常好，老婆很喜欢，大小合适,2023-05-31 22:12:37
有光泽，满意。同事们都说好看。拾到宝了,2023-08-22 11:49:41
颜色到是挺喜欢的，就是有一大片的影响美观,2024-06-20 10:10:00
