非常满意  太漂亮了,2025年6月30日
货收到了，很不错，送人也挺好的，对方很喜欢,2025年9月21日
非常不错，玉质感很强，戴着非常好看，而且很精致的！,2025年7月8日
该用户觉得商品非常好，给出5星好评,2025年7月2日
该用户觉得商品非常好，给出5星好评,2025年6月30日
很好看，推荐推荐！,2025年7月13日
挺好的,2025年9月25日
戴上好看，小巧玲珑，价格实惠，下次还会再来,2025年8月8日
与广告宣传有所差距 但友友说喜欢 快递加收3元物流费,2025年5月23日
货已收到，物美廉价，挺好的，物流也很快，很满意。点赞👍👍,2025年4月11日
没想到那么好，不敢在二姐直播间买东西了，买一次退一次，这家的好不用退货,2025年6月9日
试戴了一下，效果很好，细润，手感好，光泽度也好！值得推荐。,2025年7月4日
质量很好 戴起来也好看 值得购买,2025年8月6日
宝贝已经收到了，非常满意,2025年8月15日
不懂分真假，看起来可以，老人家喜欢,2025年5月27日
超级差的购物体验，买来送生日礼物的，结果物流跟商家预计时间不符，不推荐购买,2025年9月19日
选礼闭眼入这款和田玉弥勒佛项链！天然和田玉质地醇厚，无杂无裂手感温润，弥勒佛造型圆润讨喜，雕刻线条流畅自然，藏着豁达吉祥、平安纳福的美好祝福。做工精细打磨光滑，佩戴舒适不磨肤，礼盒包装大气有面儿，不管送谁都超合适，走心又高级！,2026年2月7日
玉佛收到了，很喜欢，也很漂亮，支持,2025年6月21日
和图片相符，好看，长辈非常喜欢,2025年8月10日
质量很好，有鉴定书，价格实惠，值得拥有,2025年6月19日
女朋友生日给她买的，笑脸弥勒佛寓意满满，绝绝子！款式设计不错，这和田玉看起来质感就很好，转运珠看着也很大气，价格也很实惠，很适合女朋友，佩戴起来非常好看，还赠送了中国黄金证书+品牌礼盒，包装也很精美别致，很大气。！,2025年5月17日
本来还挺满意，第一次的圆润润，第二次就开始敷衍了，可以看下对比图，尺寸不对，厚薄不对，虽然争吵过后让赔付10块钱，还是忍不住想告诉大家，慎重吧，如果不是因为母亲节临近，是绝对不会留下的，花钱买教训呗,2025年5月10日
质感较好，款式新颖，比较好看。,2025年8月4日
项链挺好看的，有黄金认证证书，玉的颜色也不错,2025年6月30日
给老妈买的生日礼物，很衬肤色，很好看，妈妈非常喜欢,2025年9月9日
收到货，第一时间拆包装📦，质量非常好💯，与卖家描述一致，完全超出我的期望值，包装很仔细、严实🛡️，总的来说这次是很满意的一次购物，感谢。,2026年3月10日
我在购物时备注了绳子稍微比正常的长一点，因为我脖子比较粗结果没当回事,2025年7月10日
包装特别走心，很大气有档次，女友特别开心，项链很好看，是和田玉+足金的，光泽很不错，质感也很好，看着就很值钱，长度可以自由调节，而且佩戴特别舒服，细腻，做工的非常的优秀，看来我的眼光还是可以的，蛮不错的一次购物体验，客服的服务也很好,2025年5月17日
该用户未填写评价内容,2025年5月11日
感觉还是可以的！这个价格买到手不错。给个好评,2025年6月6日
很漂亮，有鉴定书，应该是和田玉！,2025年9月19日
感觉是假的,2025年6月3日
。  外观设计还可以，好看，玉佛小了一点。,2025年9月27日
本来还挺满意，第一次的圆润润，第二次就开始敷衍了，可以看下对比图，尺寸不对，厚薄不对，虽然争吵过后让赔付10块钱，还是忍不住想告诉大家，慎重吧，如果不是因为母亲节临近，是绝对不会留下的，花钱买教训呗,2025年5月10日
不错，收到后看到真心的喜欢，包装也很精致,2025年6月2日
很好，颜色很好看，淡绿色，送妈**礼物,2025年6月29日
收到商品挺满意！物有所值！值得购买！,2025年6月22日
喜欢，玉的质感不错😌，而且有黄金的认证书，好看,2025年7月1日
孩子送给妈**生日礼物，太喜欢了，爱了爱了🥰,2025年6月3日
挺好看的，我妈很喜欢😍😍😍,2025年5月28日
不错的一次购物，这款项链款式设计好看，孩子很喜欢，值得购买推荐。,2025年8月8日
送人的，非常喜欢,2025年6月9日
做工精美，价格适中，外形好看，特别推荐,2025年5月29日
和视频一样，非常满意。,2025年6月18日
质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物质量很好，希望更多的朋友信赖.店主态度特好，我会再次光顾的好卖家赞，发货迅速，态度很好，很满意!很好很好!网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉，很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆，质量非常好，出乎我的意料包装非常仔细,2026年2月25日
很好,2025年9月20日
包装礼盒：还可以 外观设计：美观 整体评价：五星好评,2026年4月16日
评论,时间
宝贝很好哦快递很快因该是正品吧,2026年4月12日
这个玉佩很好，色泽润，细腻。值得购买。下次会再来买。,2026年4月5日
佛公料子细腻，白润，很满意。希望佛保佑平安好运！,2025年10月31日
玉佛拿到手白润细腻，雕工不错，笑容满面的，包装精美，还送了礼品。,2025年10月23日
玉佛质地细腻，有光泽，整体看着就很漂亮，雕工也不错，送给家人的，非常满意。,2025年5月12日
挺好的玉佛，大小刚好，整体温润，戴上身很舒适，润润的。,2024年12月8日
佛公摸起来温润，雕工不错，白润光滑，戴上效果很好，太喜欢了,2024年11月28日
这个佛公我很喜欢，大小合适，白润细腻，真的很好看呀,2024年11月20日
玉佛非常喜欢，品质不错，下次有需要还来。,2025年5月24日
一眼就相中这款玉佛，羊脂白玉，很好，很润，感谢客服小姐姐的耐心解答，收到很满意 ,2024年12月21日
玉佛佩戴舒适，大小刚好，日常搭配很不错。,2025年4月28日
手感不错，玉质温润，包装证书齐全，愿玉佛保佑平安顺遂，心想事成。,2024年11月26日
做工很好，配的绳子看着挺上档次的,2025年3月24日
做工精细，肚子圆润，佛公笑口常开，看着开心。,2024年12月11日
已经戴上玉佛了，好看，拿去开了光，愿佛保佑平安健康！,2024年11月19日
点赞，佛公品质在线，油润没有杂质，很喜欢😊😊,2024年12月10日
玉质很好，雕刻得玉佛有佛意，玉看着细腻很润，佩戴起来好看。 ,2025年1月9日
佛公收到了，白润细腻，品质不错，可以入手。,2024年11月8日
玉佛买着看看的，没想到玉真的很不错，也很润，做工非常精细，真的很喜欢！,2025年1月12日
东西收到后，感觉挺惊喜了。我自己拍了另外一个品牌的，和这个对比感觉没有这个白，所以留下了这款。整体感觉佩戴很有气质，是好东西。反正也是有证书，查了一下出证机构也是正规公司。,2025年6月8日
质量上乘，细节之处尽显品质，玉佛戴起来非常好！,2024年12月16日
已收到，戴上玉佛很满意！店家还送了手串，也好看。,2024年11月15日
羊脂玉佛公油润细腻，佛公笑口常开，非常好。,2025年8月18日
玉润饱满，色泽不错，手感很润！佩戴好看，必须点赞。,2025年3月29日
很漂亮，佛公很喜欢！客服也特别耐心，值得入手。 ,2024年11月12日
买的玉佛已经戴上了，质地细腻油润，让人看了舒适静心，挺不错的。,2024年12月2日
 非常漂亮，很喜欢这个羊脂白玉佛，物超所值！ ,2024年12月11日
实物非常好看，非常通透，自己换了银项链，推荐购买,2025年3月30日
打过灯，没荧光反应。主要老板服务态度好，沟通顺畅，也发了白些的过来。,2025年5月17日
不知道值不值这个价，感觉太小了，不懂真不真,2025年2月13日
玉佛大小合适，玉质细腻温润，包装很好，还送了一条玛瑙手串，有质检证书，服务态度很好。,2025年1月16日
"好喜欢，同事说我戴起来很不错,整体很满意。",2024年11月11日
很满意，对比了好几家，这一家的佛公雕工非常生动，细节完美，手感也好。,2024年11月13日
玉佛玉质白净，油性好，佩戴几天感觉越来越润。,2025年4月29日
雕工非常好，戴起来舒适，和田玉也很白润，包装也可以。,2024年11月15日
收到打开是礼盒包装，很适合我拿来送人，玉佛色泽很漂亮，而且有证书。,2024年12月1日
玉质细腻，摸起来挺光滑油润，佛公雕刻细致，喜乐喜乐的。,2024年12月10日
佛公玉质细腻，油润感强，收到货很满意，推荐入手。,2025年6月25日
收到这家羊脂白玉佛公比其他家要好，有证书，包装也高档，推荐，而且有运费险保障不错。,2025年6月10日
品质一如既往的好，老客户了，买玉都是在这家店买，很放心。,2025年9月28日
收到货了，很喜欢，堂妹戴上很合适，玉的油润度看的出，手感可以，是真的天然和田玉，这个价格合适👍🏻👍🏻,2025年3月14日
 这家很不错，第一次买和田玉，很润，佛公跟描述一样，值得推荐！,2024年11月7日
和田玉佛公油性足，手感温润，这个品质对得起价格。,2025年4月29日
羊脂白玉佛公油润细腻，戴着舒服，朋友看了都觉得挺不错的。,2025年9月2日
很喜欢，羊脂白玉油润，戴上佛公也好看，显肤色白！ ,2025年1月22日
收到货了，佛公做工很不错，很喜欢和田玉温润和质感，摸起来很润，证书礼品也配有，品牌靠谱。,2025年1月7日
玉佛玉质不错，家人很喜欢，有带鉴定证书，查过也问过朋友，是真玉,2024年11月28日
 拿到手感觉挺不错的，雕刻玉佛纹理清晰，搭配的绳子也好看，佩戴也很喜欢。,2024年11月25日
羊脂玉佛公收到了，玉品质很好，佛公开脸慈祥，很喜欢。​ ,2025年6月6日
挑了3款和田玉佛公，入手这款羊脂玉的，特别细腻，油润，没有杂质，太喜欢了，已经安利给我朋友了！,2024年11月22日
佛公挺好的，自然光下很不错，有光泽，感觉很温润，也找人看了是真的和田玉，值得推荐。,2025年1月8日
这个玉佛实在是太棒了，无杂质，很润，雕工不错！,2025年3月27日
 很合眼缘，店家很靠谱，佛公品质在线，很满意的一次购物,2024年11月8日
收到货了，打开包装非常满意，玉的表面白润，无杂质，玉佛品质很好。,2025年3月14日
佛公雕工细致，料子很好，摸起来手感很顺滑，色泽润白。,2025年5月10日
玉佛很油润，佩戴很舒心，价格合理，质量很棒。,2024年11月9日
已经观望很久这款玉佛了，跟店家聊很多，想了想还是下单回来看看，收到货看了品质，还是不错的，没瑕疵，家人也喜欢就留下了。,2025年1月3日
一眼就相中了，给家人请的玉佛收到了，温润细腻，品质很好，底子细腻，非常喜欢！,2025年3月19日
是我喜欢的玉佛，料子很好，已经戴上了，效果不错！,2024年11月12日
朋友说玉养人，买了这款玉佛，戴下感觉挺不错的！很温润。,2024年12月3日
佛公造型饱满，细节雕刻处理不错，看着舒服，很满意。,2025年4月26日
 挺好的，看着不错，拿着玉佛温润细腻，品质很好。,2024年11月25日
收到就拿去鉴定机构检测了，鉴定结果是和田玉，是真的，想买玉可以选择这家。玉佛佩戴舒适，最近遇事燥，请佛安心下。,2024年11月22日
包装的不错，很喜欢，摸着滑滑的，还送了一个串珠,2025年6月4日
包装很赞，玉佛送人很合适，玉质也很温润，大小也合适，这个价钱很值得,2024年12月27日
玉佛公雕工细腻，羊脂玉油润度很好，物有所值。,2025年4月16日
玉佛品相工艺不错，整体很满意，服务也很好，推荐,2025年3月17日
和田玉质地细腻，手感不错，玉佛戴上身也不错，爱了,2024年12月11日
还不错，玉佛很润，戴起来也合适，性价比高，老板还送了小礼物。还会光顾的。,2025年3月12日
和田玉佛公很白润，质量非常好，有配证书，物流挺快的。,2024年11月19日
很喜欢，小巧精致，值得推荐。。,2025年5月13日
物流给力，有证书包装也漂亮，玉佛质量不错，物超所值！,2024年11月29日
回购了玉佛，品质不错，油润细腻，靠谱,2024年11月19日
收到羊脂白玉佛公了，雕工精细，玉质温润，性价比高。​,2025年8月18日
佛公喜笑颜开，看着舒适，羊脂白玉油润，挺好的，包装也很上档次。,2025年5月11日
收到玉佛了，玉白油润，品质很不错,2025年8月23日
惊喜，品质很棒的玉佛，跟图片一样，满意,2024年11月19日
收到玉佛确实油润，玉质细腻，留下了,2025年5月21日
佛公玉质细腻，油脂感强，品质很不错，这个价位很满意。​,2025年6月13日
喜欢！玉佛品质物超所值的，收到之后马上就佩戴了起来。一次非常满意的购物！,2024年12月3日
玉料细腻，佩戴玉佛上身很显档次，很符合我的期待，满意,2025年5月10日
感觉还可以，油润度色泽都不错，没有杂质，白润，品质挺好的。,2024年11月26日
评论,时间
商品有收到了感覺上有點小了說，沒其他問題，手感好，摸着很舒服。,2026年3月27日
手感好，摸着很舒服。性价比超高，值得购买。,2026年3月23日
摸起来手感不错，里面会有一些白点点，整体还是不错的。客服态度很好,2026年3月15日
玉质清透感还行，圆润顺滑。 美观大方，虽然感觉有点不太大，但佩戴感觉还不错的。佩戴绳可自由调节，方便使用。 整体感觉还不错的。,2026年3月1日
手感不错，颜色偏白，整体性价比还可以,2026年3月9日
超级美超级喜欢，像一颗透明的冰凉薄荷糖，绿色也是我想要的～,2026年3月3日
挺好看的，偏白，摸起来蛮润的。,2026年3月8日
很好，就选的小的挂在项链上，很合适,2026年4月13日
这个价格能买到这样的，我还蛮满意的，挂坠很显白,2026年4月12日
买的这款最小的，不喜欢这个绳子，还没戴，新的一年平平安安健健康康,2026年1月23日
颜色偏青，有细纹，总体符合这个价位的质量,2026年3月9日
色泽、饱满度、大小都合适，不错,2026年1月13日
买来送给老公的礼物，老公喜欢,2026年3月31日
做工很细致，戴上显档次，确实很好看,2026年1月27日
已经带上了，性价比很高，质量也很好，很喜欢！,2026年2月27日
收到货特别惊喜，真的很漂亮。,2026年3月22日
玉质很细腻，摸起来特别顺滑。但是感觉价格稍高，此品质与价格大约2：1,2026年2月8日
颜色很清楚，收到货很开心。,2026年2月18日
很小，一分价一份货，但也耐看，没鉴定真假,2026年2月5日
商品不错书羽客服很喜欢,2026年3月4日
是，收到货后我很放心。,2026年3月1日
感觉玉没有想象中大,2026年3月14日
送给弟弟的生日礼物，收到实物特别漂亮，大小也合适，客服小七很专业哦，推荐介绍都非常到位，开心开心,2026年1月1日
还可以 换了个编绳,2026年1月24日
东西收到了，质感还可以,2026年2月8日
比想的小一点，不懂玉，看不出来好坏，不过手感不错,2026年1月3日
實體非常漂亮 值得回購 雖然無法挑選 ,2026年3月20日
给儿子买的，本命年，保平安。,2026年3月7日
小鸿客服态度很好，商品质量也很好，好评。,2026年1月15日
款式挺好的，我很喜欢,2026年3月29日
这个商品，怎么说呢，我觉得的呢，可以,2025年12月24日
大小合适，玉佩挺亮的，性价比挺高的,2026年1月5日
做工很细致，性价比高,2026年1月21日
给麻麻的生日礼物哦麻麻生日快乐！,2026年1月7日
女朋友很喜欢，以后买更好的,2026年1月21日
看着挺好看的,2026年1月3日
挺好看的，有质感。,2025年12月30日
挺厚实，第一次发的有瑕疵又换了一个,2025年12月16日
玉佩很喜欢很好看，拿到手就爱不释手立刻佩戴了。白起客服及时处理解决差价问题👍🏻👍🏻👍🏻👍🏻,2025年11月24日
挺好的，不错，价位不高。买个平安,2025年12月16日
项链收到了，是送给宝贝女儿的礼物，我们都非常满意！也非常感谢客服鲁班的服务！,2025年11月5日
很好看 没有瑕疵 很喜欢,2025年11月20日
该用户未填写评价内容,2025年10月28日
很有分量，冰冰的,2025年11月24日
很好看，小的刚刚好,2025年11月11日
好看戴上了,2025年11月2日
可以，挺好看的,2025年11月2日
我刚戴了三天绳子就断了,2026年3月31日
该用户未填写评价内容,2026年3月2日
还能发错货，服了，懒得换了,2026年3月26日
线不结实,2026年4月4日
东西可以，就是才买不到一周就降价，补不了差价，价 给个中评吧,2026年1月1日
这个做工对吗,2025年10月28日
带着玩吧,2026年4月14日
整体评价：还行 佩戴体验：还没戴，看着不错 产品性价比：性价比还可以，不贵 产品质量：应该还行吧，绳子看着挺粗的 外观设计：满意 ,2024年11月7日
这款挺有分量的，属于物美价廉，有需要的可以冲,2024年4月21日
无语了，买了没几天，降了一百多，而且当时佩珠款没货，不得已买了编绳款，结果现在降到那么低，我真的。。。。,2024年5月21日
真是不错，219元买的，质量又好又便宜,2024年4月23日
好看，送给朋友的，自己重新换了编绳更高级了！很高大上～希望朋友平平安安！,2025年6月2日
总体来说，我对这块玉非常满意。它不仅美观大方，尽显品味，而且还能带给我一种宁静安详的感觉。如果你也在寻找一块具有独特魅力的玉，我强烈推荐你考虑这款。,2024年10月4日
该用户未填写评价内容,2024年11月29日
这款玉坠温润如玉，色泽自然，每一块都仿佛蕴含着大自然的灵气。佩戴起来既显气质又显品味，真是让人爱不释手。无论是自用还是送礼，都是极佳的选择!,2024年10月5日
很有质感,2025年4月28日
漂亮，孩子喜欢就好啦，推荐,2025年6月10日
收到了自己换了细点的绳加了个小金珠，完美！,2025年5月2日
整体评价：戴玉就图个平安如意 产品质量：这个不太懂，用手机灯照了一下，里边有像棉花一样丝丝絮絮的东西 外观设计：很漂亮，对我来说，大小正合适 ,2024年4月21日
还不错，发的顺丰速度也很快，喜欢平安扣很久了，这个价格也很合理，不错不错,2025年7月3日
该用户未填写评价内容,2024年12月11日
圆润，其他不懂,2025年6月23日
精致且好看，品质也不错。带着很好看，送人也可以。飞燕小姐姐服务态度非常好，好评,2025年10月3日
收到的仪式感还是很足的，送人的也喜欢,2024年11月3日
该用户未填写评价内容,2024年12月19日
很好，十分喜欢  到货也很快非常棒,2025年6月18日
质地很好，非常喜欢。,2025年8月10日
整体评价：还好吧 产品性价比：可以 外观设计：我挺喜欢的 ,2024年5月22日
很漂亮，和田玉很透，佩戴好看，也适合送人、价格也不贵，值得购买,2024年10月28日
送给妈妈和婆婆的，好看,2025年5月13日
产品很好，质量非常好，很好看很好搭配，包装也很用心，物流也很快，值得购买，推荐。,2024年10月24日
不错。。。。。。。。。 ,2024年5月27日
挺漂亮的,2025年3月16日
1.顺丰发货 2.包装精美，漂亮外壳！ 3.有鉴定证书 4.光泽漂亮,2024年10月24日
收到玉很好，特意跟客服说帮我挑好一点的，很温润的感觉，快递超给力，品牌店可靠,2024年11月17日
图片与实物不符，还碎了 ,2024年8月17日
还挺不错的，有分量，质感也很好，五星好评,2025年1月22日
一般,2025年3月10日
整体评价：不错 ,2024年11月19日
东西可以，就是2个玉的颜色给我弄错了,2024年11月9日
该用户未填写评价内容,2025年4月25日
玉质很细腻，摸起来特别顺滑。,2026年1月31日
服务态度可以，玉也不错,2025年8月25日
元歌客服很有耐心，产品也是很不错，喜欢喜欢,2025年8月6日
该用户未填写评价内容,2024年11月16日
东西不错很满意 孙膑客服很专业,2024年11月13日
和田玉，玉质圆润，手感好。很好看！,2025年8月29日
整体评价：挺好，油性糯性都不错 佩戴体验：时尚 外观设计：外观大气 ,2024年10月20日
好漂亮，送人的，喜欢😍，想给自己再买一个了，,2024年9月18日
平安扣很好看，玉的手感摸着也很不错，大小很适合女生，质量很好，很喜欢，赵飞燕客服服务态度很 好！非常推荐。,2024年5月21日
喜欢，蛮好看的,2024年9月19日
没有说的那么厚比较薄。,2025年2月23日
送人的，看起来挺好的，物流也快，客服态度也好，下次还会在回购的,2024年4月25日
还不错！,2025年6月8日
买大品牌的还是放心，而且价格也不贵，和田玉通透，尺寸女士戴也合适，平安扣，平平安安，高端大气上档次，很好，可以闭眼入。,2025年1月22日
给孩子的成年礼，愿孩子一生平安，买的小号，大小刚好，玉的色泽是青白色,2024年4月27日
东西不错，还有优惠，可以放心省钱购买，不要犹豫了宝贝真不错，做的真细心，值得拥有，快递很快材质很好，质量也不错，到货也很快,2024年8月18日
很好看,2025年2月14日
这款和田玉吊坠挺好看的 价格也很实惠 买来送给妈** 她很喜欢,2024年8月11日
该用户未填写评价内容,2024年9月11日
给妈妈买的母亲节礼物妈妈超级喜欢,2025年5月13日
挺好的，里面有棉,2024年9月11日
该用户未填写评价内容,2024年12月6日
大品牌，值得信赖，超级好看的平安扣，这价格很值,2025年3月15日
性价比很高，功能也很好，喜欢得不得了！,2025年6月14日
大小合适，但是颜色不通透，有很多棉絮,2024年9月12日
一下子买了两，这个价格，性价比超高，温温润润的，冰凉，还得相信周大生,2025年7月7日
宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！,2024年10月8日
带上挺好看,2024年11月6日
不太懂玉石，第一次买！不过我买的25mm，觉得太小了！适合小朋友戴 ,2025年5月25日
有瑕疵 但这价格也差不多了,2025年10月9日
看起来不错，妈妈很喜欢，大点的感觉更大气,2025年5月12日
该用户未填写评价内容,2025年2月9日
宝贝收到啦，实物真的好看，价格非常实惠，强烈推荐这款，超级喜欢，商品质量好，发货也挺快的，总之就是很赞了,2025年5月31日
这个玉坠货真价实，送礼和自用都倍有牌面儿，赶紧买来试试吧！,2025年6月20日
东西收到了，物超所值，值得拥有,2024年11月8日
该用户未填写评价内容,2025年3月6日
父亲节的礼物，女儿们送的！爸爸很喜欢！,2025年6月17日
还行吧，大款没想的那么大，其他都还可以,2025年2月15日
很好看,2024年8月30日
这款产品看很久了，最终下手了，超级喜欢，吕布客服服务态度很好!! !I产品非常推荐,2024年7月22日
这个必须好评，看的我喜欢,2024年9月10日
吊坠很好看 很漂亮，冰冰凉凉的好舒服,2025年8月11日
送婆婆的，她说可以，喜欢，到货玉比较温润，货描相符,2025年6月2日
实物比图片更美！正宗和田玉，证书齐全可验。 扣体浑圆无杂裂，佩戴舒适不冰肤。 包装精致，自留赠礼两相宜。 诚信之选，五星力荐！,2025年6月23日
很好看，物超所值，喜欢的姐妹可以冲😁,2024年4月18日
产品收到啦，很不错，非常喜欢，值得拥有！！,2025年6月2日
买来送人，还没送,2024年8月25日
刚收到货，看了一下挺好的，不过据说玉石是比较冰的，摸着倒是没太大感觉，其它的都挺好的，妈妈很喜欢,2024年11月5日
整体评价：快递很快，包装很好 外观设计：大气又很有重量，精致 ,2024年11月5日
蛮喜欢的，摸起来润润的，没有荧光反应,2025年3月15日
玉打磨的很好，品质很好，配送也很快适合送礼,2024年10月24日
项链真的很好看，玉摸起来也很有质感，买来送人的包装也很不错 整体评价：很好 佩戴体验：很好 产品性价比：很好 产品质量：很好 外观设计：很好 ,2024年5月3日
该用户未填写评价内容,2025年3月2日
第一次买的有印子，客服很爽快地帮忙换了一块好的过来。材质很好，发的顺丰快递，到货很快，大品牌值得信赖,2024年4月23日
好看爱看，周大生东西还是不错滴，国庆节带出来玩啦，靓女出游啦,2024年10月1日
大版的男生戴适合，女生买小版，都有质检报告，值得买！,2024年11月11日
挺好,2024年5月21日
整体评价：购物很成功！商品质量不错，卖家服务态度好，发货速度快，给个大大的赞，下次还会继续购买！热情周到，发货速度快，推荐给大家！包装高级，送女朋友的不二之选 ,2024年11月14日
买了三盒，比想象中的要漂亮，过年送给小朋友,2026年2月5日
好看,2025年2月28日
送给妈**母亲节礼物！！色泽很好 包装也很精致～,2025年6月7日
整体评价：还不错挺好看的，喜欢周大生一如既往的好 ,2024年4月20日
送给朋友的礼物 朋友非常喜欢  玉石的水头也很漂亮，值得购买,2024年11月10日
非常好,2025年8月6日
   在周大生官方旗舰店购买的这款平安坠，从包装到产品本身，无不透露着精致与高雅。坠子的设计简约而不失华美，每一个细节都处理得恰到好处，既时尚又富有深意，完美诠释了对平安的美好祈愿。佩戴起来舒适贴肤，无论是自用还是赠予亲友，都是传递祝福的上佳之选。客服的耐心解答与周到服务，更是让人购物体验满分。真心推荐给每一位追求品质与寓意并重的朋友们，值得拥有!客服赵飞燕非常耐心细致的讲解非常棒！ ,2024年6月9日
外观设计漂亮，尺寸大小太小，包装仔细完整，宝贝手感不好，货不对板！给力！5星好差评！,2024年5月10日
包装很严实，而且很好看，一开始担心绳子不会很粗，到手看刚刚好，很喜欢，买的一周年礼物🎁，期待对方会喜欢！,2024年11月5日
很好看 戴着感觉很高端舒适 比想象中的要大,2024年11月6日
还可以，青白玉，青色占比会多一些，很好看，朋友很喜欢,2024年9月27日
整体评价：好 ,2024年8月10日
收到货，第一时间拆包装，质量非常好，与卖家描述一致，完全超出我的期望值，包装很仔细、严实，总的来说这次是很满意的一次购物，感谢卖家。,2024年10月5日
玉石的透度非常好  佩戴很好看 颜色也很好看。,2024年11月15日
第一次买的小版的，觉得太小了，退货重新下单了大版，也就是我在评价的这款，但是我小版退货的时候，商家说我退回的不是他们的商品给我拒收了也不退款 ！！         给出的理由和证据如图1，内容是商品不一致，且重量不符；我很生气，明明是原样退回的就试戴了下怎么可能不是他们的商品？？找客服理论无果，如图2。        幸亏我退货前自己也拍了照片如图3，仔细一看发现与附带证书上货不对版（我收到的小版有白色小珠子，而证书没有，并且我现在大版确实没有白色小珠子），而且小版调节绳结是双边的两个，我现在的同款大版只有中间一个，并且大小版直径看起来相差很大（这就是我的粗心，小版当时拿到手没称重量也没量直径）。         我合理怀疑，他们绝对是给我发错货了，我翻了店铺别的商品，很像是另一个链接里的迷你版商品，商家在没搞清状况情况下说我寄回的不是他们家的不退我款！最后是平台介入，平台退款给我了，商家一直没有承认！        最后的最后，奉劝大家拿到手，一定要复称，要测量直径和厚度，家里没有电子秤的还是不要买了，退货的、自留的都留个心眼，事儿不大，膈应人。,2025年7月4日
送朋友的感觉很好看，挺润的，很喜欢,2025年6月15日
不错,2025年8月4日
